value,params_dropout,params_epochs,params_learning_rate,state
0.28901556112310467,0.41170711473010735,24,0.00019937232653442498,COMPLETE
0.6692610632847337,0.14839005241159395,14,0.009919117726188578,COMPLETE
0.6690779735936838,0.38502507076029335,24,0.008394919051794897,COMPLETE
0.6698261183850905,0.31272308123605935,19,0.007399637351680926,COMPLETE
0.6702094498802634,0.32437995823251914,18,0.006931897390597142,COMPLETE
0.2999749260351938,0.19622592157793878,16,0.0004221380289498234,COMPLETE
0.2870278911774649,0.21148331846092258,22,0.0010051668350152649,COMPLETE
0.6708523219122606,0.24842129375092506,16,0.008326509471296895,PRUNED
0.6698023996808949,0.4650051580330923,20,0.0030345839692078355,PRUNED
0.6693046185023644,0.1402784547546804,22,0.005730041569237231,PRUNED
